107
0 1 3 4 7 66 68 114 115 123 125 127 128 129 130 131 132 133 134 135 137 139 200 202 206 207 208 209 215 216 217 219 218 220 231 232 798 800 801 802 804 808 869 871 872 873 874 877 878 880 882 884 885 1160 1162 1166 1168 1172 1175 1217 1218 1219 1220 1223 1224 1225 1227 1412 1646 1648 1658 1660 1661 1663 1664 1668 1670 1673 1675 1729 1730 1770 1732 1733 1734 1735 1773 2279 2281 2282 2294 2297 2299 2319 2333 2480 2487 2488 2716 3076 3077 3094 3100 3101 3104 3247 3253
32 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
31 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
33 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
22 2 0 1 5 3 4 6 9 11 10 8 7 ; 1 3 5 0 2 4 7 6 8
24 2 0 1 5 3 4 6 9 11 10 8 7 ; 1 3 5 0 2 4 7 6 8
25 2 0 1 5 3 4 6 9 11 10 7 8 ; 1 3 5 0 2 4 7 6 8
31 0 1 2 3 7 9 8 4 6 5 11 10 ; 0 1 2 3 4 5 6 8 7
33 2 0 1 4 3 6 5 7 11 10 8 9 ; 1 3 5 0 2 4 7 6 8
28 2 0 1 4 3 6 5 7 11 10 8 9 ; 1 3 5 0 2 4 7 6 8
30 0 1 2 3 7 8 9 4 5 6 10 11 ; 0 1 2 3 4 5 6 8 7
32 2 0 1 4 3 6 5 7 10 11 8 9 ; 1 3 5 0 2 4 7 6 8
29 0 1 2 3 7 9 8 4 6 5 11 10 ; 0 1 2 3 4 5 6 8 7
27 2 1 0 5 3 4 6 11 10 9 8 7 ; 3 1 5 0 4 2 7 6 8
34 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
35 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
33 0 1 2 3 7 8 9 4 6 5 11 10 ; 0 1 2 3 4 5 6 8 7
28 0 1 2 3 7 8 9 4 5 6 11 10 ; 0 1 2 3 4 5 6 8 7
32 0 1 2 3 7 8 9 4 5 6 10 11 ; 0 1 2 3 4 5 6 8 7
32 2 0 1 4 7 10 11 3 6 5 8 9 ; 1 3 5 0 2 4 7 8 6
33 2 0 1 4 7 11 10 3 6 5 8 9 ; 1 3 5 0 2 4 7 8 6
28 2 0 1 4 7 11 10 3 6 5 8 9 ; 1 3 5 0 2 4 7 8 6
26 1 2 0 5 11 10 9 3 4 6 8 7 ; 3 0 4 1 5 2 7 8 6
34 0 1 2 3 7 9 8 5 4 6 10 11 ; 0 1 2 3 4 5 6 8 7
22 2 0 1 5 9 11 10 3 4 6 8 7 ; 1 3 5 0 2 4 7 8 6
24 2 0 1 5 9 11 10 3 4 6 8 7 ; 1 3 5 0 2 4 7 8 6
25 2 0 1 5 9 11 10 3 4 6 7 8 ; 1 3 5 0 2 4 7 8 6
27 2 1 0 5 11 10 9 3 4 6 8 7 ; 3 1 5 0 4 2 7 8 6
35 0 1 2 3 7 9 8 5 4 6 10 11 ; 0 1 2 3 4 5 6 8 7
10 2 0 1 3 4 5 6 8 7 10 11 9 ; 1 3 5 0 2 4 6 7 8
10 2 0 1 3 4 8 7 5 6 10 11 9 ; 1 3 5 0 2 4 6 8 7
12 2 0 1 3 5 4 6 9 8 7 11 10 ; 1 3 5 0 2 4 6 7 8
11 2 0 1 3 5 4 6 7 9 8 11 10 ; 1 3 5 0 2 4 6 7 8
17 2 0 1 3 5 4 6 9 8 7 10 11 ; 1 3 5 0 2 4 6 7 8
16 2 0 1 3 5 4 6 7 9 8 10 11 ; 1 3 5 0 2 4 6 7 8
13 2 0 1 3 5 4 6 9 8 7 10 11 ; 1 3 5 0 2 4 6 7 8
15 2 0 1 3 5 4 6 9 8 7 10 11 ; 1 3 5 0 2 4 6 7 8
14 2 0 1 3 5 4 6 9 7 8 10 11 ; 1 3 5 0 2 4 6 7 8
20 2 0 1 3 7 9 8 4 6 5 10 11 ; 1 3 5 0 2 4 6 8 7
19 2 0 1 3 4 6 5 7 9 8 10 11 ; 1 3 5 0 2 4 6 7 8
21 2 0 1 3 7 9 8 4 6 5 10 11 ; 1 3 5 0 2 4 6 8 7
18 2 0 1 3 7 9 8 4 5 6 10 11 ; 1 3 5 0 2 4 6 8 7
18 2 0 1 3 4 5 6 7 9 8 10 11 ; 1 3 5 0 2 4 6 7 8
20 2 0 1 3 4 6 5 7 9 8 10 11 ; 1 3 5 0 2 4 6 7 8
19 2 0 1 3 7 9 8 4 6 5 10 11 ; 1 3 5 0 2 4 6 8 7
15 2 0 1 3 9 8 7 5 4 6 10 11 ; 1 3 5 0 2 4 6 8 7
14 2 0 1 3 9 7 8 5 4 6 10 11 ; 1 3 5 0 2 4 6 8 7
12 2 0 1 3 9 8 7 5 4 6 11 10 ; 1 3 5 0 2 4 6 8 7
17 2 0 1 3 9 8 7 5 4 6 10 11 ; 1 3 5 0 2 4 6 8 7
13 2 0 1 3 9 8 7 5 4 6 10 11 ; 1 3 5 0 2 4 6 8 7
11 2 0 1 3 7 9 8 5 4 6 11 10 ; 1 3 5 0 2 4 6 8 7
16 2 0 1 3 7 9 8 5 4 6 10 11 ; 1 3 5 0 2 4 6 8 7
